,EFA,EWG,EWU,EWW,FEMKX,FLPSX,IJS,IJT,IVV,IWM,JUEAX,MACSX,MASKX,MDY,QQQ,SLYV,SPY,SWPPX,SWSSX,TGINX,VBIRX,VFIAX,VGENX,VGSLX,VTI,VTRIX,VTSAX,VVIAX,YACKX
EFA,0.0,0.13122909300573884,0.12623378876380548,0.17983817850896958,0.19881527079614253,0.33788368132350366,1.0089790474242812,0.841134902932009,0.16266947099876913,0.9313262129346931,0.1804628752733295,0.5124304922923181,0.9918360272935621,0.5120159756882637,0.5931584534963636,0.9337159730551815,0.17496458935800616,0.16436663774581456,0.9361890204448025,0.8320796662254405,0.9759059014550617,0.16664294390768067,0.3257119590131678,0.5102060769317197,0.15676552410120378,0.13779345777156465,0.15294526517958065,0.21003032152827625,0.23478112686060226
EWG,0.13122909300573884,0.0,0.20844972953415292,0.19321225186311253,0.2684685882411409,0.4016761784055306,0.9996881317433247,0.8204676931781502,0.1661841089609321,0.9056979078298949,0.15937173255471823,0.6271158087485115,0.9659583002225481,0.4918947604957419,0.5474316262596958,0.931702447303759,0.17467410760374524,0.16121891371758718,0.9116329428810397,0.954180101182684,1.0976999903320084,0.16043169561244983,0.3547258510843001,0.515658751837788,0.14034544436404323,0.2554901989319925,0.12345126330563204,0.26494506335783946,0.36244001162280104
EWU,0.12623378876380548,0.20844972953415292,0.0,0.17859524998137705,0.30976982994012525,0.3591871644294978,1.0165164554281165,0.8918070749877403,0.2661008343763026,0.9764976443456302,0.285836599442371,0.5551066281086202,1.0349548140882232,0.5535877735877638,0.7117301156919437,0.9347735011805399,0.2764893429711444,0.26383543519056457,0.9783485561365829,0.8506051417456577,0.9936040019124994,0.2652882621750136,0.22455101917046247,0.4595156175059589,0.28063830571723775,0.161603064634455,0.2744951552989009,0.08756638076189334,0.21569886354534273
EWW,0.17983817850896958,0.19321225186311253,0.17859524998137705,0.0,0.31605563952411214,0.25741916050185704,0.8517825305006672,0.722652784453287,0.3229630460697624,0.8040208354475014,0.3286725593609212,0.5972587445707508,0.8621052607682933,0.3807396583777689,0.7089318752210373,0.7748699674400379,0.3348221747251747,0.32273429665555364,0.8056820241339006,0.9060829015919597,1.0487616903497061,0.32384764762618873,0.21958680484661913,0.3357931370786352,0.27225111039796834,0.19130101763897206,0.2591203374972907,0.2156616061388488,0.29158973655502013
FEMKX,0.19881527079614253,0.2684685882411409,0.30976982994012525,0.31605563952411214,0.0,0.33133951354864893,1.016732589710355,0.797732827403087,0.20678953949653686,0.8973558505459738,0.2208537189037188,0.3844966056334781,0.9589053101891699,0.5131944258834812,0.4989586967340321,0.9480985171874563,0.21532595516470865,0.21997091370825872,0.9058973407413077,0.7207154518744645,0.8611984924812853,0.22390827658391999,0.49748141250229094,0.6229736992423702,0.15803579341070198,0.2025655708922658,0.17266289445241007,0.3972909138724113,0.27503955321369344
FLPSX,0.33788368132350366,0.4016761784055306,0.3591871644294978,0.25741916050185704,0.33133951354864893,0.0,0.7312997999665498,0.5962696664189534,0.4694386198870166,0.6864469129554804,0.4805742031132863,0.46205534715188284,0.7432361670491384,0.31044817066898756,0.7877474087746149,0.6508758403697795,0.48188948672715365,0.4765612770077478,0.6875732846902444,0.7444614239588325,0.8798097988450599,0.4794824378029388,0.38807438357914953,0.37065620362798957,0.3944777326459836,0.23671801750341026,0.3913651091201245,0.40903657915318503,0.284947924872824
IJS,1.0089790474242812,0.9996881317433247,1.0165164554281165,0.8517825305006672,1.016732589710355,0.7312997999665498,0.0,0.36037024437349857,1.1247676972326182,0.30844740938917803,1.1210257201417004,1.1291609343841904,0.29506878067286185,0.5257139222762953,1.3204280328823395,0.09888006566337826,1.1358583838190641,1.1286657108593974,0.2840091733110263,1.3302445523355215,1.4320556046804358,1.130002126031265,0.9080981692887651,0.6321359906950509,1.0256671681018108,0.9505439324325902,1.0150817486313222,1.0303603486000514,1.0049606251218302
IJT,0.841134902932009,0.8204676931781502,0.8918070749877403,0.722652784453287,0.797732827403087,0.5962696664189534,0.36037024437349857,0.0,0.9178579783679321,0.1044898981543584,0.9090136886114399,0.9478857358015972,0.16404345123066366,0.34318411290116113,1.018400292957858,0.3690804040908841,0.9271732074831107,0.9238286021419524,0.11802176947781953,1.1881997271108118,1.2962027406146335,0.9251778699671735,0.8609947640211688,0.6529459844940214,0.8078016367890543,0.8011284292680184,0.8002494223241557,0.932850162345011,0.8768195139395759
IVV,0.16266947099876913,0.1661841089609321,0.2661008343763026,0.3229630460697624,0.20678953949653686,0.4694386198870166,1.1247676972326182,0.9178579783679321,0.0,1.0106073146265118,0.03330079044478904,0.5539851596200116,1.0722483048590625,0.6067680969090304,0.4510972532814064,1.0567065717682227,0.012782643183429409,0.014232554831587984,1.0187925742762,0.8782667032580591,1.0189720796029764,0.01813679536970723,0.4723961332846383,0.6584501944469867,0.1118389172090658,0.2789666905977527,0.11927352866796587,0.33816128848973476,0.35875917838333454
IWM,0.9313262129346931,0.9056979078298949,0.9764976443456302,0.8040208354475014,0.8973558505459738,0.6864469129554804,0.30844740938917803,0.1044898981543584,1.0106073146265118,0.0,1.0009592974305206,1.0483026537912843,0.06199672537547248,0.42396587728757856,1.108834147680623,0.3439050940109217,1.0199100193230408,1.0159186507493032,0.024602900641447337,1.282201388885265,1.387778814450113,1.0170875412108393,0.9295666450054728,0.7025089442927801,0.9011078578996624,0.893132884332582,0.8925359471767816,1.0123455128126777,0.9686289178922356
JUEAX,0.1804628752733295,0.15937173255471823,0.285836599442371,0.3286725593609212,0.2208537189037188,0.4805742031132863,1.1210257201417004,0.9090136886114399,0.03330079044478904,1.0009592974305206,0.0,0.5786597922644126,1.0625548500561466,0.6004750460976555,0.42982739617707605,1.0549976495493674,0.03088042896965843,0.031867626088571875,1.0095836368101183,0.9051971576642195,1.045692926611755,0.030545970269320058,0.4843588535956364,0.6629386238160819,0.10398607550897068,0.3006787276969462,0.10928412529542936,0.3558165931750259,0.3862820153685934
MACSX,0.5124304922923181,0.6271158087485115,0.5551066281086202,0.5972587445707508,0.3844966056334781,0.46205534715188284,1.1291609343841904,0.9478857358015972,0.5539851596200116,1.0483026537912843,0.5786597922644126,0.0,1.1035295633231361,0.733163386236842,0.7824875011451408,1.0535349499803854,0.5606892211463506,0.5663982998964713,1.054319559157563,0.33699071973195394,0.47721972895122966,0.5707569029170318,0.7044425729713446,0.8061008101905182,0.5400223916815289,0.41694126851595525,0.5541872960630794,0.6228905307905275,0.35966804679265435
MASKX,0.9918360272935621,0.9659583002225481,1.0349548140882232,0.8621052607682933,0.9589053101891699,0.7432361670491384,0.29506878067286185,0.16404345123066366,1.0722483048590625,0.06199672537547248,1.0625548500561466,1.1035295633231361,0.0,0.48300810240594366,1.1671579323783778,0.34714421204117774,1.081567894492647,1.0774779065978626,0.05687826366657749,1.3304292959822377,1.4332556789538382,1.0786283921475532,0.9820790602977325,0.7471132934952955,0.9628674470283418,0.9524526003933668,0.9541807149589321,1.0691041127379837,1.0263526907749068
MDY,0.5120159756882637,0.4918947604957419,0.5535877735877638,0.3807396583777689,0.5131944258834812,0.31044817066898756,0.5257139222762953,0.34318411290116113,0.6067680969090304,0.42396587728757856,0.6004750460976555,0.733163386236842,0.48300810240594366,0.0,0.814064745511381,0.4709241338381766,0.6171776254001713,0.6110402061589435,0.42690337137115714,1.0198973310132418,1.1486767800288873,0.6122662813776573,0.5288835646858271,0.37644395274873166,0.5035213164279033,0.48272608555069707,0.49298825599364743,0.5919582570394742,0.5710385576912539
QQQ,0.5931584534963636,0.5474316262596958,0.7117301156919437,0.7089318752210373,0.4989586967340321,0.7877474087746149,1.3204280328823395,1.018400292957858,0.4510972532814064,1.108834147680623,0.42982739617707605,0.7824875011451408,1.1671579323783778,0.814064745511381,0.0,1.2785729213547075,0.4429394793380044,0.4552238174658095,1.1256187190294378,1.0845192657803366,1.2051283757474884,0.4543562958212012,0.8990792188031479,1.0187792759809793,0.4451805724724328,0.6801721638250564,0.45464582285510363,0.7846710940270917,0.7605967414523764
SLYV,0.9337159730551815,0.931702447303759,0.9347735011805399,0.7748699674400379,0.9480985171874563,0.6508758403697795,0.09888006566337826,0.3690804040908841,1.0567065717682227,0.3439050940109217,1.0549976495493674,1.0535349499803854,0.34714421204117774,0.4709241338381766,1.2785729213547075,0.0,1.0681817510289489,1.0605616088161114,0.3212814617260272,1.2539886121311277,1.358146197887481,1.0620311146182546,0.8218168907106708,0.5458728492016052,0.9610508875579166,0.8697836992328982,0.9505713710362684,0.9463698834694017,0.9191739705908729
SPY,0.17496458935800616,0.17467410760374524,0.2764893429711444,0.3348221747251747,0.21532595516470865,0.48188948672715365,1.1358583838190641,0.9271732074831107,0.012782643183429409,1.0199100193230408,0.03088042896965843,0.5606892211463506,1.081567894492647,0.6171776254001713,0.4429394793380044,1.0681817510289489,0.0,0.015936464920793304,1.0282685347298663,0.8842522305336401,1.0245943408372307,0.017808968531296925,0.48283190283625904,0.6701489164910956,0.120065594847019,0.29125333115297314,0.12771065765521303,0.3473265926798047,0.3696111761196359
SWPPX,0.16436663774581456,0.16121891371758718,0.26383543519056457,0.32273429665555364,0.21997091370825872,0.4765612770077478,1.1286657108593974,0.9238286021419524,0.014232554831587984,1.0159186507493032,0.031867626088571875,0.5663982998964713,1.0774779065978626,0.6110402061589435,0.4552238174658095,1.0605616088161114,0.015936464920793304,0.0,1.0239774755235154,0.8899179570915032,1.0307143167570527,0.004367327053366361,0.4685331661729393,0.6576201498100844,0.11914348383825223,0.2848654098920601,0.12461350934420926,0.3335476666726112,0.3648622479485245
SWSSX,0.9361890204448025,0.9116329428810397,0.9783485561365829,0.8056820241339006,0.9058973407413077,0.6875732846902444,0.2840091733110263,0.11802176947781953,1.0187925742762,0.024602900641447337,1.0095836368101183,1.054319559157563,0.05687826366657749,0.42690337137115714,1.1256187190294378,0.3212814617260272,1.0282685347298663,1.0239774755235154,0.0,1.286088332983783,1.3915373711889087,1.0251570979413707,0.9260935740896616,0.6939298270075445,0.9098611291662175,0.8963200790160178,0.901054004858126,1.012445941441218,0.9704572933161804
TGINX,0.8320796662254405,0.954180101182684,0.8506051417456577,0.9060829015919597,0.7207154518744645,0.7444614239588325,1.3302445523355215,1.1881997271108118,0.8782667032580591,1.282201388885265,0.9051971576642195,0.33699071973195394,1.3304292959822377,1.0198973310132418,1.0845192657803366,1.2539886121311277,0.8842522305336401,0.8899179570915032,1.286088332983783,0.0,0.14396552537465734,0.8942231455294506,0.9717279409697772,1.06019759998454,0.8745785128156195,0.7261865526777369,0.8886833741148628,0.9031665915521104,0.6405145039127886
VBIRX,0.9759059014550617,1.0976999903320084,0.9936040019124994,1.0487616903497061,0.8611984924812853,0.8798097988450599,1.4320556046804358,1.2962027406146335,1.0189720796029764,1.387778814450113,1.045692926611755,0.47721972895122966,1.4332556789538382,1.1486767800288873,1.2051283757474884,1.358146197887481,1.0245943408372307,1.0307143167570527,1.3915373711889087,0.14396552537465734,0.0,1.035004086422237,1.1105819221279858,1.1918326098035938,1.0158073291231633,0.8698882378081171,1.0302457205423776,1.0445724373242518,0.7831794864422785
VFIAX,0.16664294390768067,0.16043169561244983,0.2652882621750136,0.32384764762618873,0.22390827658391999,0.4794824378029388,1.130002126031265,0.9251778699671735,0.01813679536970723,1.0170875412108393,0.030545970269320058,0.5707569029170318,1.0786283921475532,0.6122662813776573,0.4543562958212012,1.0620311146182546,0.017808968531296925,0.004367327053366361,1.0251570979413707,0.8942231455294506,1.035004086422237,0.0,0.4691679540962331,0.6585136698484132,0.12075793756060954,0.28815196686211975,0.1257593049103436,0.3342993615924138,0.3684348561715162
VGENX,0.3257119590131678,0.3547258510843001,0.22455101917046247,0.21958680484661913,0.49748141250229094,0.38807438357914953,0.9080981692887651,0.8609947640211688,0.4723961332846383,0.9295666450054728,0.4843588535956364,0.7044425729713446,0.9820790602977325,0.5288835646858271,0.8990792188031479,0.8218168907106708,0.48283190283625904,0.4685331661729393,0.9260935740896616,0.9717279409697772,1.1105819221279858,0.4691679540962331,0.0,0.28837002251009203,0.4613790378579066,0.3164730211790938,0.4493063456817645,0.16897112411975426,0.3509617480143516
VGSLX,0.5102060769317197,0.515658751837788,0.4595156175059589,0.3357931370786352,0.6229736992423702,0.37065620362798957,0.6321359906950509,0.6529459844940214,0.6584501944469867,0.7025089442927801,0.6629386238160819,0.8061008101905182,0.7471132934952955,0.37644395274873166,1.0187792759809793,0.5458728492016052,0.6701489164910956,0.6576201498100844,0.6939298270075445,1.06019759998454,1.1918326098035938,0.6585136698484132,0.28837002251009203,0.0,0.600953962704264,0.4689384706779902,0.5870242706535598,0.43951114400908714,0.5173013375920518
VTI,0.15676552410120378,0.14034544436404323,0.28063830571723775,0.27225111039796834,0.15803579341070198,0.3944777326459836,1.0256671681018108,0.8078016367890543,0.1118389172090658,0.9011078578996624,0.10398607550897068,0.5400223916815289,0.9628674470283418,0.5035213164279033,0.4451805724724328,0.9610508875579166,0.120065594847019,0.11914348383825223,0.9098611291662175,0.8745785128156195,1.0158073291231633,0.12075793756060954,0.4613790378579066,0.600953962704264,0.0,0.25293316244663444,0.01990275547627178,0.3590641785023525,0.35546368114165594
VTRIX,0.13779345777156465,0.2554901989319925,0.161603064634455,0.19130101763897206,0.2025655708922658,0.23671801750341026,0.9505439324325902,0.8011284292680184,0.2789666905977527,0.893132884332582,0.3006787276969462,0.41694126851595525,0.9524526003933668,0.48272608555069707,0.6801721638250564,0.8697836992328982,0.29125333115297314,0.2848654098920601,0.8963200790160178,0.7261865526777369,0.8698882378081171,0.28815196686211975,0.3164730211790938,0.4689384706779902,0.25293316244663444,0.0,0.2534742180456635,0.23713507953509202,0.1194037882720966
VTSAX,0.15294526517958065,0.12345126330563204,0.2744951552989009,0.2591203374972907,0.17266289445241007,0.3913651091201245,1.0150817486313222,0.8002494223241557,0.11927352866796587,0.8925359471767816,0.10928412529542936,0.5541872960630794,0.9541807149589321,0.49298825599364743,0.45464582285510363,0.9505713710362684,0.12771065765521303,0.12461350934420926,0.901054004858126,0.8886833741148628,1.0302457205423776,0.1257593049103436,0.4493063456817645,0.5870242706535598,0.01990275547627178,0.2534742180456635,0.0,0.3508958704444371,0.3592364169728552
VVIAX,0.21003032152827625,0.26494506335783946,0.08756638076189334,0.2156616061388488,0.3972909138724113,0.40903657915318503,1.0303603486000514,0.932850162345011,0.33816128848973476,1.0123455128126777,0.3558165931750259,0.6228905307905275,1.0691041127379837,0.5919582570394742,0.7846710940270917,0.9463698834694017,0.3473265926798047,0.3335476666726112,1.012445941441218,0.9031665915521104,1.0445724373242518,0.3342993615924138,0.16897112411975426,0.43951114400908714,0.3590641785023525,0.23713507953509202,0.3508958704444371,0.0,0.2697359030550528
YACKX,0.23478112686060226,0.36244001162280104,0.21569886354534273,0.29158973655502013,0.27503955321369344,0.284947924872824,1.0049606251218302,0.8768195139395759,0.35875917838333454,0.9686289178922356,0.3862820153685934,0.35966804679265435,1.0263526907749068,0.5710385576912539,0.7605967414523764,0.9191739705908729,0.3696111761196359,0.3648622479485245,0.9704572933161804,0.6405145039127886,0.7831794864422785,0.3684348561715162,0.3509617480143516,0.5173013375920518,0.35546368114165594,0.1194037882720966,0.3592364169728552,0.2697359030550528,0.0
